Source_File,Id,Timestamp,Prev Signal Value,Changepoint Value,Next Signal Value,Changepoint Significance,Average Signal Over Window
1,8,0.48048048048048,239710.05,228471.3,214968.15,0.29225352112676056,256360.05
1,10,0.600600600600601,214968.15,201481.65,196803.0,0.2852112676056338,221719.72499999998
1,17,1.02102102102102,195737.4,183599.55,157292.55,0.1619718309859155,197430.94285714283
1,18,1.08108108108108,183599.55,157292.55,151348.5,0.43661971830985913,183599.55
1,42,2.52252252252252,140009.85,111854.7,88428.15,0.7816901408450704,147380.25
1,43,2.58258258258258,111854.7,88428.15,85297.95,0.18661971830985916,111854.7
1,72,4.32432432432432,82833.75,73476.45,66949.65,0.852112676056338,84787.54137931034
1,111,6.66666666666667,60805.8,43523.1,40476.15,1.0,67013.26153846153
1,159,9.54954954954955,37062.9,30669.3,27572.4,0.8873239436619719,39887.85
1,246,14.7747747747748,24092.55,19047.6,16683.3,0.7605633802816901,27021.418965517238
1,325,19.5195195195195,12271.05,9440.55,9607.05,0.6971830985915493,13800.953164556962
1,464,27.8678678678679,8424.9,6160.5,5994.0,0.7147887323943662,9523.8
1,555,33.3333333333333,5644.35,4911.75,4362.3,0.41901408450704225,5899.954945054946
1,630,37.8378378378378,3912.75,3113.55,2297.7,0.4612676056338028,4131.197999999999
1,673,40.4204204204204,2397.6,1565.1,1814.85,0.1795774647887324,2393.3406976744186
1,998,59.9399399399399,1748.25,1315.35,965.7,0.0,1410.0756923076922
10,8,0.48048048048048,18381.6,16933.05,16500.15,0.6905829596412556,19328.56875
10,11,0.660660660660661,17132.85,15834.15,16600.05,0.242152466367713,16855.35
10,26,1.56156156156156,16033.95,15817.5,15118.2,0.3452914798206278,16148.279999999999
10,55,3.3033033033033,15534.45,16616.7,16366.95,0.5022421524663677,15593.012068965516
10,57,3.42342342342342,16366.95,17615.7,18331.65,0.672645739910314,16491.825
10,80,4.8048048048048,18348.3,17382.6,16483.5,0.2556053811659193,17964.62608695652
10,81,4.86486486486486,17382.6,16483.5,16799.85,0.484304932735426,17382.6
10,100,6.00600600600601,14552.1,11072.25,9790.2,1.0,16259.163157894738
10,165,9.90990990990991,5644.35,4811.85,4761.9,0.9551569506726457,8132.628461538461
10,167,10.03003003003,4761.9,2980.35,2497.5,0.34977578475336324,4786.875
10,232,13.9339339339339,2314.35,1881.45,1665.0,0.8295964125560538,2562.563076923077
10,233,13.993993993994,1881.45,1665.0,1332.0,0.2825112107623318,1881.45
10,318,19.0990990990991,1265.4,915.75,782.55,0.8026905829596412,1399.7752941176473
10,428,25.7057057057057,616.05,283.05,466.2,0.7309417040358744,741.6818181818181
10,560,33.6336336336336,299.7,116.55,149.85,0.29596412556053814,273.46363636363634
10,998,59.9399399399399,266.4,299.7,183.15,0.0,187.74965753424658
11,6,0.36036036036036,12637.35,11671.65,11072.25,0.3110236220472441,12185.025000000001
11,7,0.42042042042042,11671.65,11072.25,11388.6,0.28346456692913385,11671.65
11,41,2.46246246246246,12037.95,11255.4,11205.45,0.2755905511811024,11268.622058823528
11,51,3.06306306306306,11771.55,10772.55,11005.65,0.2992125984251969,11317.005
11,55,3.3033033033033,11371.95,10805.85,11105.55,0.2952755905511811,11176.3125
11,73,4.38438438438438,10905.75,10223.1,10239.75,0.2795275590551181,11136.075
11,75,4.5045045045045,10239.75,7908.75,6876.45,0.8543307086614174,10231.425
11,87,5.22522522522523,4478.85,5444.55,4961.7,0.22440944881889763,5198.9625
11,99,5.94594594594595,4628.7,5144.85,5244.75,0.2795275590551181,4902.037499999999
11,106,6.36636636636637,5278.05,4578.75,4662.0,0.3700787401574803,5123.442857142857
11,127,7.62762762762763,5994.0,4562.1,4745.25,0.33070866141732286,4937.914285714286
11,154,9.24924924924925,4279.05,2780.55,1948.05,0.8818897637795275,4830.349999999999
11,251,15.0750750750751,1098.9,666.0,499.5,1.0,1273.2958762886597
11,329,19.7597597597598,499.5,349.65,366.3,0.6614173228346457,562.6846153846154
11,435,26.1261261261261,283.05,233.1,233.1,0.4448818897637795,299.8570754716981
11,998,59.9399399399399,249.75,233.1,149.85,0.0,203.6741563055062
12,8,0.48048048048048,5960.7,6360.3,5994.0,0.32608695652173914,6133.44375
12,13,0.780780780780781,6593.4,5960.7,5444.55,0.3217391304347826,6416.909999999999
12,21,1.26126126126126,6776.55,5544.45,5561.1,0.23478260869565218,6158.41875
12,24,1.44144144144144,4595.4,2014.65,1365.3,0.9391304347826087,5233.65
12,85,5.10510510510511,999.0,632.7,765.9,1.0,1048.4040983606556
12,105,6.30630630630631,949.05,699.3,599.4,0.28695652173913044,817.5150000000001
12,133,7.98798798798799,915.75,632.7,599.4,0.7130434782608696,766.4946428571428
12,134,8.04804804804805,632.7,599.4,482.85,0.3130434782608696,632.7
12,135,8.10810810810811,599.4,482.85,399.6,0.24782608695652175,599.4
12,174,10.4504504504505,432.9,632.7,482.85,0.2608695652173913,523.8346153846154
12,200,12.012012012012,499.5,432.9,249.75,0.24347826086956523,533.4403846153846
12,201,12.0720720720721,432.9,249.75,166.5,0.9739130434782609,432.9
12,275,16.5165165165165,99.9,266.4,216.45,0.2565217391304348,195.52499999999998
12,382,22.9429429429429,149.85,233.1,216.45,0.23478260869565218,189.0630841121495
12,901,54.1141141141141,216.45,133.2,133.2,0.27391304347826084,183.34248554913296
12,998,59.9399399399399,83.25,166.5,149.85,0.0,183.83659793814434
13,7,0.42042042042042,21028.95,22211.1,22810.5,0.6239316239316239,20574.642857142862
13,11,0.660660660660661,22211.1,23676.3,24292.35,0.2692307692307692,22702.275
13,32,1.92192192192192,21245.4,19713.6,17049.6,0.7863247863247863,23269.56428571429
13,33,1.98198198198198,19713.6,17049.6,16583.4,0.2564102564102564,19713.6
13,44,2.64264264264264,15750.9,16317.0,16666.65,0.23504273504273504,16094.495454545453
13,51,3.06306306306306,15451.2,16833.15,16699.95,0.27350427350427353,16202.828571428572
13,71,4.26426426426426,14285.7,11838.15,10023.3,0.2222222222222222,16232.9175
13,72,4.32432432432432,11838.15,10023.3,8491.5,0.7649572649572649,11838.15
13,86,5.16516516516517,6576.75,5611.05,6143.85,0.32905982905982906,7098.846428571428
13,99,5.94594594594595,6127.2,6943.05,6909.75,0.6410256410256411,6150.253846153846
13,131,7.86786786786787,4662.0,2497.5,1848.15,0.9529914529914529,6504.946875
13,133,7.98798798798799,1848.15,1232.1,1198.8,0.18803418803418803,2172.825
13,197,11.8318318318318,1348.65,932.4,782.55,1.0,1323.41484375
13,284,17.0570570570571,732.6,283.05,432.9,0.905982905982906,719.3948275862069
13,391,23.4834834834835,299.7,199.8,233.1,0.5384615384615384,386.21775700934575
13,998,59.9399399399399,183.15,133.2,216.45,0.0,175.414744645799
14,9,0.540540540540541,22860.45,21744.9,21312.0,0.4824561403508772,23504.25
14,10,0.600600600600601,21744.9,21312.0,19347.3,0.2412280701754386,21744.9
14,11,0.660660660660661,21312.0,19347.3,20096.55,0.3157894736842105,21312.0
14,39,2.34234234234234,18081.9,11904.75,11854.8,1.0,20052.54642857143
14,41,2.46246246246246,11854.8,12803.85,13486.5,0.2324561403508772,11879.775
14,86,5.16516516516517,14685.3,13270.05,13586.4,0.4517543859649123,13664.839999999998
14,124,7.44744744744745,12487.5,10855.8,11438.55,0.7631578947368421,13577.198684210527
14,126,7.56756756756757,11438.55,9940.05,10089.9,0.2850877192982456,11147.175
14,134,8.04804804804805,9773.55,8791.2,7908.75,0.37719298245614036,9584.15625
14,175,10.5105105105105,8408.25,7625.7,7875.45,0.6798245614035088,8553.632926829267
14,179,10.7507507507508,7725.6,7326.0,6993.0,0.2719298245614035,7667.325000000001
14,202,12.1321321321321,4512.15,3929.4,3296.7,0.2412280701754386,6629.595652173913
14,203,12.1921921921922,3929.4,3296.7,2797.2,0.4692982456140351,3929.4
14,278,16.6966966966967,782.55,1015.65,682.65,0.34210526315789475,872.4600000000002
14,325,19.5195195195195,616.05,316.35,316.35,0.8421052631578947,800.6170212765959
14,998,59.9399399399399,133.2,249.75,133.2,0.0,194.1840267459138
15,14,0.840840840840841,20013.3,18331.65,18198.45,0.3543307086614173,19691.00357142857
15,25,1.5015015015015,17066.25,12271.05,9174.15,0.9803149606299213,18404.304545454546
15,37,2.22222222222222,8075.25,8974.35,8974.35,0.28346456692913385,8483.175000000001
15,38,2.28228228228228,8974.35,8974.35,9340.65,0.25196850393700787,8974.35
15,46,2.76276276276276,9140.85,9856.8,9174.15,0.452755905511811,9149.175
15,69,4.14414414414414,9340.65,5644.35,3962.7,1.0,9714.91304347826
15,96,5.76576576576577,3230.1,2713.95,3130.2,0.25984251968503935,3253.5333333333324
15,142,8.52852852852853,2930.4,2647.35,2347.65,0.37401574803149606,2982.521739130435
15,143,8.58858858858859,2647.35,2347.65,2181.15,0.7322834645669292,2647.35
15,215,12.9129129129129,1864.8,1381.95,1098.9,0.9212598425196851,2023.2062500000002
15,248,14.8948948948949,1115.55,749.25,949.05,0.31496062992125984,1107.9818181818184
15,302,18.1381381381381,1148.85,799.2,782.55,0.562992125984252,1033.225
15,388,23.3033033033033,949.05,616.05,765.9,0.2440944881889764,817.9796511627909
15,422,25.3453453453453,749.25,516.15,333.0,0.5433070866141733,755.1264705882354
15,423,25.4054054054054,516.15,333.0,366.3,0.41732283464566927,516.15
15,998,59.9399399399399,266.4,166.5,149.85,0.0,210.65869565217392
16,15,0.900900900900901,14918.4,16267.05,15984.0,0.32432432432432434,15674.31
16,27,1.62162162162162,16650.0,13070.25,11172.15,0.9652509652509652,16418.287500000002
16,36,2.16216216216216,10772.55,11921.4,11704.95,0.23938223938223938,11368.250000000002
16,39,2.34234234234234,10905.75,12004.65,11704.95,0.21621621621621623,11510.699999999999
16,66,3.96396396396396,11938.05,10606.05,10339.65,0.22393822393822393,11683.366666666667
16,71,4.26426426426426,9840.15,9140.85,8691.3,0.2084942084942085,10133.189999999999
16,74,4.44444444444444,9107.55,6826.5,5144.85,0.4749034749034749,8979.9
16,75,4.5045045045045,6826.5,5144.85,3696.3,0.5135135135135135,6826.5
16,76,4.56456456456456,5144.85,3696.3,3579.75,0.20077220077220076,5144.85
16,119,7.14714714714715,3146.85,3746.25,3080.25,0.2972972972972973,3278.8883720930235
16,141,8.46846846846847,3113.55,2114.55,1748.25,1.0,3392.815909090909
16,244,14.6546546546547,1332.0,1165.5,882.45,0.6718146718146718,1537.942718446602
16,359,21.5615615615616,932.4,699.3,765.9,0.6061776061776062,951.6560869565217
16,493,29.6096096096096,549.45,416.25,416.25,0.33976833976833976,663.6391791044775
16,617,37.0570570570571,349.65,183.15,133.2,0.30115830115830117,275.7991935483871
16,998,59.9399399399399,166.5,199.8,233.1,0.0,201.19842519685042
17,7,0.42042042042042,13153.5,15068.25,15018.3,0.4775510204081633,14009.785714285714
17,19,1.14114114114114,14135.85,14718.6,16117.2,0.2530612244897959,14289.862500000003
17,28,1.68168168168168,14052.6,11521.8,9490.5,0.9387755102040817,15195.900000000001
17,65,3.9039039039039,9224.1,6610.05,4878.45,0.9346938775510204,10115.549999999997
17,106,6.36636636636637,4029.3,4562.1,3912.75,0.3224489795918367,4183.210975609756
17,108,6.48648648648649,3912.75,4545.45,4945.05,0.4897959183673469,4237.425
17,116,6.96696696696697,4811.85,4329.0,4329.0,0.27755102040816326,4689.05625
17,134,8.04804804804805,3346.65,1981.35,1515.15,1.0,4264.249999999999
17,172,10.3303303303303,1731.6,1332.0,1365.3,0.30612244897959184,1467.390789473684
17,213,12.7927927927928,1348.65,1215.45,666.0,0.2693877551020408,1393.7268292682927
17,214,12.8528528528529,1215.45,666.0,999.0,0.7877551020408163,1215.45
17,307,18.4384384384384,765.9,632.7,532.8,0.6612244897959184,848.9709677419354
17,308,18.4984984984985,632.7,532.8,566.1,0.23265306122448978,632.7
17,424,25.4654654654655,399.6,283.05,316.35,0.6448979591836734,458.01853448275864
17,550,33.033033033033,266.4,116.55,149.85,0.3224489795918367,238.78214285714287
17,998,59.9399399399399,149.85,249.75,183.15,0.0,183.67031249999997
18,9,0.540540540540541,3996.0,4162.5,4512.15,0.2125,3983.0499999999997
18,25,1.5015015015015,3429.9,3379.95,2997.0,0.2375,4055.3156249999997
18,26,1.56156156156156,3379.95,2997.0,2697.3,0.7166666666666667,3379.95
18,34,2.04204204204204,2231.1,2647.35,2664.0,0.4,2449.6312500000004
18,63,3.78378378378378,2430.9,1831.5,1698.3,0.9291666666666667,2609.4568965517237
18,66,3.96396396396396,1581.75,1381.95,1415.25,0.2625,1703.8500000000001
18,78,4.68468468468468,1348.65,1182.15,1282.05,0.3625,1351.425
18,104,6.24624624624625,1215.45,1082.25,1215.45,0.2,1237.2230769230769
18,122,7.32732732732733,1048.95,832.5,832.5,0.8375,1168.2749999999999
18,124,7.44744744744745,832.5,599.4,632.7,0.225,832.5
18,184,11.0510510510511,616.05,183.15,316.35,1.0,605.7825
